cod_articulo,desc_articulo,estado,unidxbulto,cant_base,cant_palet,critico,minimo,unidad_medida,unidadxpack,contenido,desc_contenido,es_envase,tipo_articulo,cod_linea,linea,cod_ramo,ramo,cod_sector,sector,cod_familia,familia,cod_subfamilia,subfamilia,cod_rubro,rubro,codprov,proveedor,cod_art_prov,desc_corta,cod_clase,clase,cod_marca,marca,iva,articulo,codigo,tipo,edi
"0000000001657","SAL DOS ANCLAS PARR EST 24X500 GR","ACTIVO",24,14,70,11.00,24.00,"KG",0,0.500,"500G","NO","NORMAL","031","SAL DOS ANCLAS","061","ESTUCHES","001","ALMACEN","019","SAL","003","GRUESA","061","ESTUCHES","00489","CIA INTRODUCTORA DE BS AS S.A","0000000062210","SAL 2ANCLAS PARR EST","","","088","DOS ANCLAS","21%","0000000001657","7792900092683",2,0
"0000000001657","SAL DOS ANCLAS PARR EST 24X500 GR","ACTIVO",24,14,70,11.00,24.00,"KG",0,0.500,"500G","NO","NORMAL","031","SAL DOS ANCLAS","061","ESTUCHES","001","ALMACEN","019","SAL","003","GRUESA","061","ESTUCHES","00489","CIA INTRODUCTORA DE BS AS S.A","0000000062210","SAL 2ANCLAS PARR EST","","","088","DOS ANCLAS","21%","0000000001657","37792900092684",1,0
"0000000000203","ALFAJOR JORGELIN GLACEADO 24x85 G","ACTIVO",24,0,0,5.00,10.00,"KG",0,0.090,"85 GR","NO","NORMAL","020","ALFAJORES JORGITO","280","ALFAJORES JORGITO","001","ALMACEN","024","GOLOSINAS","001","ALFAJORES","280","ALFAJORES JORGITO","01631","ALFAJORES JORGITO S.A.","0000000000032","ALFAJOR JORGELIN GLACEADO","","","266","JORGELIN","21%","0000000000203","77901736",2,0
"0000000000205","ALFAJORCITO JORGITO NEGRO 18X6 UNID","ACTIVO",18,0,0,5.00,10.00,"UN",0,6.000,"6 U","NO","NORMAL","020","ALFAJORES JORGITO","280","ALFAJORES JORGITO","001","ALMACEN","024","GOLOSINAS","001","ALFAJORES","280","ALFAJORES JORGITO","01631","ALFAJORES JORGITO S.A.","0000000000054","ALFAJORCITO JORGITO NEGRO","","","267","JORGITO","21%","0000000000205","7790957000545",2,0
"0000000000206","ALFAJORCITO JORGITO FRUTA GLACEA. 18x6 U","ACTIVO",18,0,0,1.00,10.00,"UN",0,6.000,"6 U","NO","NORMAL","020","ALFAJORES JORGITO","280","ALFAJORES JORGITO","001","ALMACEN","024","GOLOSINAS","001","ALFAJORES","280","ALFAJORES JORGITO","01631","ALFAJORES JORGITO S.A.","0000000000055","ALFAJORCITO JORGITO","","","267","JORGITO","21%","0000000000206","7790957000552",2,0
"0000000000206","ALFAJORCITO JORGITO FRUTA GLACEA. 18x6 U","ACTIVO",18,0,0,1.00,10.00,"UN",0,6.000,"6 U","NO","NORMAL","020","ALFAJORES JORGITO","280","ALFAJORES JORGITO","001","ALMACEN","024","GOLOSINAS","001","ALFAJORES","280","ALFAJORES JORGITO","01631","ALFAJORES JORGITO S.A.","0000000000055","ALFAJORCITO JORGITO","","","267","JORGITO","21%","0000000000206","17790957000559",1,0
"0000000004356","TE BIG BEN 6X100 SAQ","ACTIVO",6,0,0,1.00,10.00,"UN",0,100.00,"100SAQ","NO","NORMAL","078","CABRALES","132","INFUSIONES CABRALES","001","ALMACEN","006","TE","001","CLASICO","132","INFUSIONES CABRALES","00909","CABRALES S.A.","0000000000171","TE BIG BEN","","","155","BIG BEN","21%","0000000004356","7790550000225",2,0
"0000000004356","TE BIG BEN 6X100 SAQ","ACTIVO",6,0,0,1.00,10.00,"UN",0,100.00,"100SAQ","NO","NORMAL","078","CABRALES","132","INFUSIONES CABRALES","001","ALMACEN","006","TE","001","CLASICO","132","INFUSIONES CABRALES","00909","CABRALES S.A.","0000000000171","TE BIG BEN","","","155","BIG BEN","21%","0000000004356","57790550000220",1,0
"0000000004358","MATE COCIDO YER-VITA 6X100 SAQ","ACTIVO",6,0,0,2.00,10.00,"UN",0,100.00,"100 SAQ","NO","NORMAL","078","CABRALES","132","INFUSIONES CABRALES","001","ALMACEN","008","YERBAS","006","MATE COCIDO","132","INFUSIONES CABRALES","00909","CABRALES S.A.","0000000000293","MATE COCIDO YER-VITA 100 SAQ","","","399","YER-VITA","21%","0000000004358","7790550000324",2,0
"0000000004358","MATE COCIDO YER-VITA 6X100 SAQ","ACTIVO",6,0,0,2.00,10.00,"UN",0,100.00,"100 SAQ","NO","NORMAL","078","CABRALES","132","INFUSIONES CABRALES","001","ALMACEN","008","YERBAS","006","MATE COCIDO","132","INFUSIONES CABRALES","00909","CABRALES S.A.","0000000000293","MATE COCIDO YER-VITA 100 SAQ","","","399","YER-VITA","21%","0000000004358","57790550000329",1,0
