codigo,nomfant
"83595",""
"83601",""
"83604",""
"14148","MARILU"
"99115",""
"98098",""
"80962",""
"80117","."
"95658",""
"81147","."
"83632",""
"95941",""
"83633","."
"99416",""
"83636","."
"83644","."
"70189","CAPRIS"
"83648","."
"18621","ALVAREZ ANDREA"
"05102","LA VACA LOCA"
"15385","LOS PINOS"
"08783","CLUB ATLETICO LANUS"
"37874",""
"99964","LOS PRIMOS"
"80778",""
"83651","."
"95286",""
"83657","BESPA AUTOELEVADORES"
"97176",""
"80442","LAS NENAS"
"83662",""
"16844","."
"83666","."
"93514","MIA"
"91378","QL"
"09640","ELISA"
"90613","CARMEN"
"94553",""
"69756","PAN Y MANTECA"
"90711","CENTRO DE LA ECONOMIA"
"92369","ANI"
"29868","EL MIRADOR"
"83668"," ."
"37227","GOBBI"
"93421","AUTOSERVICIO GOBBI"
"91566","LA UNION"
"93655",""
"92088","-"
"42680","LA DIVA SUPER"
"94389","MARY-CRIS"
"91981","MI SOL"
"13546","GRANJA SAN JOSE"
"12726","LALY"
"94770",""
"70187","NORMA"
"83673",""
"92974","AL COSTO"
"91600","VINERI CUYO"
"83674","NINATEC"
"18167","EL NO"
"83677","."
"14898","SAN MARTIN"
"83678","."
"83335","LIMPIO.RO.COM"
"83684","."
"90761","."
"83293",""
"94295","LA NUEVA PONDEROZA"
"92264","LA NUEVA PONDEROZA"
"94568",""
"54324","LOS AMIGOS"
"06881","EL CUMPA"
"83696","EL DESEO"
"94352","TATIANA"
"91509","EL SOCIEGO"
"90924",""
"18518","LA DIAGONAL"
"93543",""
"95622","LA DIAGONAL"
"94655","."
"90572",""
"98490",""
"94934","."
"91737",""
"99934",""
"81868",""
"99036",""
"97289",""
"38035","BUEN GUSTO"
"92412",""
"83706",""
"83381","."
"83708",""
"83709","."
"91706",""
"95700",""
"95552","."
"15634","AUTOSERVICIO SAN JUAN"
"83710","."
"83711",""
"93105",""
"83715","."
"98714","."
"12519","."
"94118",""
"83716","."
"11155","AKI"
"96037","."
"83717",""
"96458","LA DIVA SUPER"
"83719",""
"83721","."
"83724","CACHABACHA"
"96183","CACHABACHA"
"99808",""
"94059",""
"97061",""
"06729","EL PORVENIR"
"93728","LOS TRONCOS"
"83730",""
"93718",""
"83731","-"
"81113",""
"83733","MINIMERCADO"
"94802",""
"91825","POLIRRUBRO ARANA"
"83737","POLIRUBRO ARENA"
"83738","-"
"95237",""
"83740",""
"80790","-"
"96103",""
"83752","."
"99313",""
"83754",""
"82323",""
"94941",""
"93753","-"
"96354",""
"94844",""
"83760","."
"99455",""
"13352","LAUTARO"
"95912","LAUTARO"
"83761","."
"81541",""
"97228",""
"97708",""
"83762","."
"18243","."
"83764","LA ESQUINA DE MITAD DE CUADRA"
"99274",""
"08894","LOS MIRLOS"
"95493",""
"95370",""
"83769",""
"95715",""
"83770",""
"97020",""
"95982",""
"99979",""
"83771",""
"81693","."
"93999",""
"95265","DORIMAR"
"99140",""
"83361",""
"80228",""
"83775","."
"83777",""
"94294",""
"91726",""
"83778",""
"83779","."
"80353",""
"83781","LA OLA VERDE"
"80925",""
"81916",""
"44203","LA GALLEGUITA"
"94125","COMPRE FÁCIL"
"83785","."
"80733",""
"11382","LA ESQUINA"
"97721",""
"95050","."
"83788","ISADAN"
"83789","."
"82366",""
"94488","."
"83790",""
"96533",""
"83791","."
"83792",""
"83793","."
"83795","."
"54409",""
"99905",""
"83798",""
"96355",""
"99691",""
"93793",""
"98952","ESTROBEL"
"95616","EL BOLICHE DE KARINA"
"83801",""
"94206","OSSA"
